Conocimiento:5.08
Ideal_Conocimiento:9.82
Habilidades:6.88
Ideal_Habilidades:9.88
Actitudes_y_Valores:6.38
Ideal_Ac_Val:9.85
Global:67.91
Experiencia previa,4.826942,1.8644687244827962
Aprendizaje autónomo,4.753233,4.275
Posesión de información,4.710952,1.8209018008492608
Pensamiento crítico,4.658552,2.20948495565645
Aprovechar oportunidades,4.796937,4.311
Desarrollo de redes de contactos ,4.791136,3.1845471749888277
Toma de decisiones y solución de problemas ,4.888132,2.2993309868885836
Persuasión ,4.805802,3.4927558625346453
Creatividad e innovación,4.758982,3.63264372188369
Liderazgo ,4.830064,3.7068916223075163
Inconformidad e individualismo,4.886479,3.1874886753223004
Locus de control interno ,4.820008,1.7384952645425789
Tendencia a asumir riesgos ,4.883331,3.007790175135943
Tolerancia al fracaso y a la incertidumbre ,4.797048,3.027549696157023
Motivación,4.771941,3.6454615122055753
Persistencia ,4.86577,3.5690744219134674
Legitimidad,4.753092,4.275
Autoeficacia ,4.774559,3.0646939250682554
Competitividad,4.737989,4.257000000000001
Confianza ,4.73154,2.1505176656702147
