Conocimiento:6.5
Ideal_Conocimiento:9.82
Habilidades:6.11
Ideal_Habilidades:9.88
Actitudes_y_Valores:7.22
Ideal_Ac_Val:9.85
Global:81.04
Experiencia previa,4.826942,3.022313685737637
Aprendizaje autónomo,4.753233,4.241847920750929
Posesión de información,4.710952,2.729090935517009
Pensamiento crítico,4.658552,3.0139160239068445
Aprovechar oportunidades,4.796937,3.323243918069997
Desarrollo de redes de contactos ,4.791136,4.311
Toma de decisiones y solución de problemas ,4.888132,3.756836336473233
Persuasión ,4.805802,1.9800107738178752
Creatividad e innovación,4.758982,2.0757832457937004
Liderazgo ,4.830064,2.8900220406584776
Inconformidad e individualismo,4.886479,3.79102090747771
Locus de control interno ,4.820008,3.1205851841659475
Tendencia a asumir riesgos ,4.883331,3.22315606183404
Tolerancia al fracaso y a la incertidumbre ,4.797048,2.0429555813501463
Motivación,4.771941,3.0368488110101937
Persistencia ,4.86577,4.3740000000000006
Legitimidad,4.753092,4.275
Autoeficacia ,4.774559,4.115915614837287
Competitividad,4.737989,4.257000000000001
Confianza ,4.73154,3.8663724833514053
