Conocimiento:6.21
Ideal_Conocimiento:9.82
Habilidades:6.14
Ideal_Habilidades:9.88
Actitudes_y_Valores:6.4
Ideal_Ac_Val:9.85
Global:68.74
Experiencia previa,4.826942,1.5692600761353102
Aprendizaje autónomo,4.753233,4.275
Posesión de información,4.710952,2.384073371357754
Pensamiento crítico,4.658552,4.1850000000000005
Aprovechar oportunidades,4.796937,4.311
Desarrollo de redes de contactos ,4.791136,2.3349645136920048
Toma de decisiones y solución de problemas ,4.888132,1.5550700453923336
Persuasión ,4.805802,3.8525380842840242
Creatividad e innovación,4.758982,2.350700984375555
Liderazgo ,4.830064,4.009990790109006
Inconformidad e individualismo,4.886479,2.6591038227306822
Locus de control interno ,4.820008,1.6289769731429173
Tendencia a asumir riesgos ,4.883331,2.517236527893723
Tolerancia al fracaso y a la incertidumbre ,4.797048,4.311
Motivación,4.771941,4.047141398698299
Persistencia ,4.86577,3.6959942858063592
Legitimidad,4.753092,3.454481775676827
Autoeficacia ,4.774559,2.217497893572882
Competitividad,4.737989,3.985307660115657
Confianza ,4.73154,3.496616989472729
