Conocimiento:5.99
Ideal_Conocimiento:9.82
Habilidades:5.26
Ideal_Habilidades:9.88
Actitudes_y_Valores:6.93
Ideal_Ac_Val:9.85
Global:74.78
Experiencia previa,4.826942,1.5841267304195044
Aprendizaje autónomo,4.753233,4.275
Posesión de información,4.710952,2.857727735431171
Pensamiento crítico,4.658552,3.265371765754297
Aprovechar oportunidades,4.796937,4.311
Desarrollo de redes de contactos ,4.791136,1.2499510125783022
Toma de decisiones y solución de problemas ,4.888132,1.3257450068250622
Persuasión ,4.805802,1.746630317309783
Creatividad e innovación,4.758982,2.7943442617830936
Liderazgo ,4.830064,4.347
Inconformidad e individualismo,4.886479,3.3443197237359397
Locus de control interno ,4.820008,2.6219327464508755
Tendencia a asumir riesgos ,4.883331,3.612576849802558
Tolerancia al fracaso y a la incertidumbre ,4.797048,4.311
Motivación,4.771941,3.57601500168947
Persistencia ,4.86577,3.93057043331225
Legitimidad,4.753092,3.2948299819126237
Autoeficacia ,4.774559,3.322081274866322
Competitividad,4.737989,2.6292094468322214
Confianza ,4.73154,3.9961275626036565
